,Actor1CountryCode,Actor1Name,GoldsteinScale,NumMentions,SQLDATE
376,LBR,ELLEN JOHNSON SIRLEAF,1.0,20,20141202
377,LBR,ELLEN JOHNSON SIRLEAF,4.0,10,20141202
378,LBR,ELLEN JOHNSON SIRLEAF,6.0,6,20141202
379,LBR,ELLEN JOHNSON SIRLEAF,4.0,8,20141202
380,LBR,ELLEN JOHNSON SIRLEAF,0.4,9,20070904
381,LBR,ELLEN JOHNSON SIRLEAF,-5.0,14,20070904
382,LBR,ELLEN JOHNSON SIRLEAF,3.4,9,20070904
383,LBR,ELLEN JOHNSON SIRLEAF,4.0,1,20070904
384,LBR,ELLEN JOHNSON SIRLEAF,4.0,5,20070904
385,LBR,ELLEN JOHNSON SIRLEAF,3.4,2,20070904
386,LBR,ELLEN JOHNSON SIRLEAF,3.4,5,20070904
387,LBR,ELLEN JOHNSON SIRLEAF,1.0,14,20070904
388,LBR,ELLEN JOHNSON SIRLEAF,3.4,2,20070904
389,LBR,ELLEN JOHNSON SIRLEAF,-5.0,4,20070904
390,LBR,ELLEN JOHNSON SIRLEAF,1.9,2,20070905
